Desc_P,Code_P,Desc_E,Code_E,Desc_F,Code_F
Batonik z twaro?ku w czekoladzie o smaku poziomki ,Sery i twarogi,Cottage cheese bar in chocolate with a wild strawberry flavor,Cheese and curd,Barre de fromage cottage au chocolat avec une saveur de fraise des bois,Fromage et caillé
Batonik z twaro?ku w czekoladzie z suszonymi ?liwkami ,Sery i twarogi,Cottage cheese bar in chocolate with dried plums,Cheese and curd,Fromage cottage en chocolat avec des prunes séchées,Fromage et caillé
Batonik z twaro?ku w czekoladzie z wi?niami i bananem ,Sery i twarogi,Cottage cheese bar in chocolate with cherries and banana,Cheese and curd,Fromage cottage en chocolat avec cerises et bananes,Fromage et caillé
Bazylia ,"Sól, przyprawy korzenne i zio?a kulinarne",Basil,"Salt, spices and culinary herbs",basilic,"Sel, épices et herbes culinaires"
Bazylia Kamis ,"Sól, przyprawy korzenne i zio?a kulinarne",Basil Kamis,"Salt, spices and culinary herbs",Basil kamis,"Sel, épices et herbes culinaires"
Bcaa liquid shot. ,"Inne artyku?y ?ywno?ciowe, gdzie indziej niesklasyfikowane",Bcaa liquid shot.,Other food items not elsewhere classified,Bcaa liquide tiré.,Autres produits alimentaires nca
Beach flower papaja kulki ,Przetwory owocowe,Papaya beach flower balls,Fruit preserves,Boules de fleurs de papaye,Conserves de fruits
Bebilon Alerlac ,Mleko zag?szczone i w proszku,Bebilon Alerlac,Powdered and powdered milk,Bebilon Alerlac,Lait condensé et en poudre
Bebilon junior 5 z pronutra ,Mleko zag?szczone i w proszku,Bebilon junior 5 with pronutra,Powdered and powdered milk,Bebilon junior 5 avec pronutra,Lait condensé et en poudre
Bellido wafelki z kremem kokosowym ,Pozosta?e wyroby piekarskie,Bellido wafers with coconut cream,Other bakery products,Gaufrettes Bellido à la crème de noix de coco,Autres produits de boulangerie
Benecol classic margaryna ro?linna 60% t?uszczu ,Margaryna i inne t?uszcze ro?linne,Benecol classic vegetable margarine 60% fat,Margarine and other vegetable fats,Margarine végétale classique Benecol 60% de matières grasses,Margarine et autres graisses végétales
Benecol classic margaryna ro?linna o zawarto?ci 60% t?uszczu ,Margaryna i inne t?uszcze ro?linne,Benecol classic vegetable margarine with 60% fat content,Margarine and other vegetable fats,Margarine végétale classique Benecol à 60% de matières grasses,Margarine et autres graisses végétales
Benecol o smaku mas?a ,Margaryna i inne t?uszcze ro?linne,Benecol butter flavor,Margarine and other vegetable fats,Beurre de Benecol,Margarine et autres graisses végétales
Beza ciasto w proszku ,Pozosta?e produkty zbo?owe,Meringue powder cake,Other cereal products,Gâteau en poudre à la meringue,Autres produits céréaliers
Bezy wyborowe ,Pozosta?e wyroby piekarskie,Choice meringues,Other bakery products,Choix meringues,Autres produits de boulangerie
Bia?y sezam House of Asia ,Owoce suszone i orzechy,White sesame House of Asia,Dried fruits and nuts,Maison de sésame blanc d&#39;Asie,Fruits secs et noix
Bigos my?liwski Kuchnia Polki ,Gotowe dania,Bigos hunting Polish cuisine,Prepared dishes,Bigos à la recherche de la cuisine polonaise,Plats cuisinés
Bigos po my?liwsku Kuchnia Polki ,Gotowe dania,Hunter&#39;s bigos Polish cuisine,Prepared dishes,Bigos du chasseur cuisine polonaise,Plats cuisinés
Bio buraczek tarty ,Warzywa suszone i pozosta?e przetwory warzywne,Organic grated beetroot,Dried vegetables and other vegetable preserves,Betterave râpée biologique,Légumes secs et autres préparations à base de légumes
Bio konfitura aronia z jab?kiem ,"D?emy, marmolady i miód",Organic chokeberry jam with apple,"Jams, marmalades and honey",Confiture de myrtilles bio à la pomme,"Confitures, marmelades et miel"
Bio konfitura ?urawina z sokiem limonki ,"D?emy, marmolady i miód",Organic cranberry jam with lime juice,"Jams, marmalades and honey",Confiture de canneberges bio au jus de citron vert,"Confitures, marmelades et miel"
Bioprzecier ogórkowy ,Warzywa suszone i pozosta?e przetwory warzywne,Cucumber bioprex,Dried vegetables and other vegetable preserves,Bioprex de concombre,Légumes secs et autres préparations à base de légumes
Biszkopciki Ja?ki z nadzieniem morelowym Dr.Gerard,Pozosta?e wyroby piekarskie,Jasiek biscuits with apricot filling Dr. Gerard,Other bakery products,Biscuits Jasiek fourrés à l&#39;abricot Dr. Gerard,Autres produits de boulangerie
Biszkopt Delecta ,Pozosta?e produkty zbo?owe,Delecta sponge cake,Other cereal products,Gâteau éponge Delecta,Autres produits céréaliers
Biszkopty Jedyne od Wedla z galaretk? malinow? ,Pozosta?e wyroby piekarskie,Single biscuits from Wedel with raspberry jelly,Other bakery products,Biscuits simples de Wedel à la gelée de framboise,Autres produits de boulangerie
Biszkopty Jedyne od Wedla z galaretk? pomara?czow? ,Pozosta?e wyroby piekarskie,Biscuits only from Wedel with orange jelly,Other bakery products,Biscuits uniquement de Wedel à la gelée d&#39;orange,Autres produits de boulangerie
Biszkopty Jedyne od Wedla z galaretk? wi?now? ,Pozosta?e wyroby piekarskie,Biscuits only from Wedel with cherry jelly,Other bakery products,Biscuits uniquement de Wedel à la gelée de cerises,Autres produits de boulangerie
Biszkopty Mamut wroc?awskie,Pozosta?e wyroby piekarskie,Wroclaw Mammoth Biscuits,Other bakery products,Biscuits au Mammouth de Wroclaw,Autres produits de boulangerie
Biszkopty Milka Jaffa malinowe,Pozosta?e wyroby piekarskie,Raspberry Milka Jaffa biscuits,Other bakery products,Biscuits à la Framboise Milka Jaffa,Autres produits de boulangerie
Biszkopty Milka Jaffa pomara?czowe,Pozosta?e wyroby piekarskie,Milka Jaffa biscuits orange,Other bakery products,Milka Jaffa biscuits à l&#39;orange,Autres produits de boulangerie
Biszkopty Milka Jaffa z piank? czekoladow?,Pozosta?e wyroby piekarskie,Milka Jaffa biscuits with chocolate mousse,Other bakery products,Biscuits Milka Jaffa avec mousse au chocolat,Autres produits de boulangerie
Biszkopty milka w czekoladzie choc&choc ,Pozosta?e wyroby piekarskie,Milk chocolate biscuits choc &amp; choc,Other bakery products,Biscuits au chocolat au lait choc &amp; choc,Autres produits de boulangerie
Biszkopty savoiardi ,Pozosta?e wyroby piekarskie,Savoiardi biscuits,Other bakery products,Biscuits Savoiardi,Autres produits de boulangerie
Biszkopty Schär Orangino bezglutenowe z galaretk? pomara?czow? w czekoladzie,Pozosta?e wyroby piekarskie,Gluten-free Schär Orangino biscuits with orange jelly in chocolate,Other bakery products,Biscuits Schär Orangino sans gluten à la gelée d&#39;orange au chocolat,Autres produits de boulangerie
Biszkopty w czekoladzie bezglutenowe ,Pozosta?e wyroby piekarskie,Gluten-free biscuits,Other bakery products,Biscuits sans gluten,Autres produits de boulangerie
Bita ?mietana Dr.oetker ,"Inne artyku?y ?ywno?ciowe, gdzie indziej niesklasyfikowane",Whipped cream Dr.oetker,Other food items not elsewhere classified,Crème fouettée Dr.oetker,Autres produits alimentaires nca
Black Energy napój energetyzuj?cy ,Napoje orze?wiaj?ce,Black Energy energy drink,Refreshing drinks,Black Energy Energy drink,Boissons rafraîchissantes
Black Vitamin Energy Natural Caffeine napój energetyzuj?cy ,Napoje orze?wiaj?ce,Black Vitamin Energy Natural Caffeine energy drink,Refreshing drinks,Black Energy Vitamin Energy Boisson énergisante naturelle à base de caféine,Boissons rafraîchissantes
BoboVita Makaron z tu?czykiem i warzywami 1-3 lata ,?ywno?? dla dzieci,BoboVita Pasta with tuna and vegetables 1-3 years,Food for children,BoboVita Pâtes au thon et légumes 1-3 ans,Nourriture pour les enfants
Bobovita zielone warzywa z indykiem ,?ywno?? dla dzieci,Bobovita green vegetables with turkey,Food for children,Bobovita légumes verts à la dinde,Nourriture pour les enfants
Boczek szwarzwaldzki ,W?dliny,Black bacon,meats,Bacon noir,viandes
Boczek wedzony espuna ,W?dliny,Smoked bacon espuna,meats,Bacon Fumé Espuna,viandes
Boczek w?dzony lardons. ,W?dliny,Smoked bacon lardons.,meats,Lardons fumés au bacon.,viandes
Boczek w?dzony Morliny ,W?dliny,Morliny smoked bacon,meats,Bacon fumé Morlina,viandes
Boczek w?dzony porcja ,W?dliny,A portion of smoked bacon,meats,Une portion de bacon fumé,viandes
Boczek w?dzony w kostce   i  ,W?dliny,Smoked bacon and ankle,meats,Bacon fumé et cheville,viandes
Boczek wieprzowy Krakus ,Pozosta?e przetwory mi?sne,Krakus pork bacon,Other meat preparations,Bacon de porc Krakus,Autres préparations de viande
Boczek z ko?ci? ,Mi?so wieprzowe,Bacon with bone,Pork meat,Bacon avec os,Viande de porc
Boczniak ,Warzywa ?wie?e lub ch?odzone inne ni? ziemniaki lub pozosta?e warzywa bulwiaste,Oyster,"Fresh or chilled vegetables, other than potatoes or other tuber vegetables",huître,Légumes frais ou réfrigérés autres que les pommes de terre ou autres tubercules
Boczniak ,Warzywa ?wie?e lub ch?odzone inne ni? ziemniaki lub pozosta?e warzywa bulwiaste,Oyster,"Fresh or chilled vegetables, other than potatoes or other tuber vegetables",huître,Légumes frais ou réfrigérés autres que les pommes de terre ou autres tubercules
Bombonierka Advokat ,Czekolada,Advokat chocolate box,Chocolate,Boîte à chocolat Advokat,chocolat
Bombonierka Bary?ki Wedel ,Czekolada,Wedel Barrels chocolate box,Chocolate,Wedel Barrels boîte de chocolat,chocolat
Bombonierka Cherry Roses Vobro ,Czekolada,Cherry Roses Vobro Chocolate Box,Chocolate,Boîte de chocolat Vobro Cherry Roses,chocolat
Bombonierka czekoaldki z klas? choco - choco ,Czekolada,Chocolate box choco - choco,Chocolate,Boîte à chocolat choco - choco,chocolat
Bombonierka delissimo assorted ,Wyroby cukiernicze,Assorted delissimo chocolate boxes,Confectionery,Assortiment de boîtes de chocolat delissimo,Confiserie
Bombonierka Ducd'o Ligueurpraline ,Wyroby cukiernicze,Ducd&#39;o Ligueurpraline chocolate box,Confectionery,Boîte de chocolat Ducd&#39;o Ligueurpraline,Confiserie
Bombonierka Fiorella ,Czekolada,Fiorella&#39;s chocolate box,Chocolate,Boîte de chocolat de Fiorella,chocolat
Bombonierka frutti di mare ,Czekolada,Chocolate box frutti di mare,Chocolate,Boîte de chocolat frutti di mare,chocolat
Bombonierka Frutti di Mare ,Czekolada,Frutti di Mare chocolate box,Chocolate,Boîte de chocolat Frutti di Mare,chocolat
Bombonierka Krówkowa Wawel ,Czekolada,Wawel fudge bonbonniere,Chocolate,Fudge bonbonnière au wawel,chocolat
Bombonierka lovini czekoladki mleczne nadziewane mix smaków ,Czekolada,Lovini chocolate box filled with milk chocolate mix of flavors,Chocolate,Boîte de chocolat Lovini remplie d&#39;un mélange de saveurs de chocolat au lait,chocolat
Bombonierka Mieszko Wi?nie Cherrissimo ,Czekolada,Bonbonniere Mieszko Cherries Cherrissimo,Chocolate,Bonbonniere Mieszko Cherries Cherrissimo,chocolat
Bombonierka milka happy birthday ,Czekolada,Chocolate box milk happy birthday,Chocolate,Boîte de chocolat lait joyeux anniversaire,chocolat
Bombonierka Mon Cheri ,Wyroby cukiernicze,Mon Cheri&#39;s chocolate box,Confectionery,La boite de chocolat de Mon Cheri,Confiserie
Bombonierka Primavera czekoladki mleczne z nadzieniem ,Czekolada,Primavera chocolate box filled with milk chocolate,Chocolate,Primavera Boîte de chocolat fourrée au chocolat au lait,chocolat
Bombonierka ?liwka na??czowska ,Czekolada,Chocolate box of Na??czów plum,Chocolate,Boîte de chocolats à la prune de Na??czów,chocolat
Bombonierka toffifee ,Wyroby cukiernicze,Toffifee chocolate box,Confectionery,Boîte de chocolat Toffifee,Confiserie
Bombonierka Vobro praliny frutti di mare,Czekolada,Chocolate box Vobro pralines frutti di mare,Chocolate,Boîte de chocolat pralinés Vobro frutti di mare,chocolat
Bombonierka Wawel Tiki Taki kokosowo-orzechowe z nadzieniem,Wyroby cukiernicze,Chocolate box Wawel Tiki Such coconut and nut filling,Confectionery,Boîte de chocolat Tiki Wawel Une telle garniture à la noix de coco et aux noix,Confiserie
Bonduelki marchew m?oda extra drobna ,Warzywa suszone i pozosta?e przetwory warzywne,Bonduelki young extra-fine carrots,Dried vegetables and other vegetable preserves,Bonduelki jeunes carottes extra-petites,Légumes secs et autres préparations à base de légumes
Borówka Krokus ,"D?emy, marmolady i miód",Blueberry Crocus,"Jams, marmalades and honey",Crocus Aux Myrtilles,"Confitures, marmelades et miel"
Borówka ?owicz do mi?s i serów ,"D?emy, marmolady i miód",Blueberry ?owicz for meat and cheese,"Jams, marmalades and honey",?owicz aux myrtilles pour la viande et le fromage,"Confitures, marmelades et miel"
Borówki ,Owoce mro?one,blueberries,Frozen fruit,myrtilles,Fruits congelés
Botwinka ,Warzywa ?wie?e lub ch?odzone inne ni? ziemniaki lub pozosta?e warzywa bulwiaste,Botwinka,"Fresh or chilled vegetables, other than potatoes or other tuber vegetables",Botwinka,Légumes frais ou réfrigérés autres que les pommes de terre ou autres tubercules
Bób Hortex ,Warzywa mro?one inne ni? ziemniaki lub pozosta?e warzywa bulwiaste,Bean Hortex,"Frozen vegetables, other than potatoes or other tuber vegetables",Bean Hortex,Légumes congelés autres que les pommes de terre ou autres tubercules
Broku?y Hortex ,Warzywa mro?one inne ni? ziemniaki lub pozosta?e warzywa bulwiaste,Hortex broccoli,"Frozen vegetables, other than potatoes or other tuber vegetables",Brocoli à l&#39;hortex,Légumes congelés autres que les pommes de terre ou autres tubercules
Broku?y ró?yczki   i  ,Warzywa mro?one inne ni? ziemniaki lub pozosta?e warzywa bulwiaste,Broccoli and rosettes,"Frozen vegetables, other than potatoes or other tuber vegetables",Brocoli et rosettes,Légumes congelés autres que les pommes de terre ou autres tubercules
Bryndza ,Sery i twarogi,Brynza,Cheese and curd,brynza,Fromage et caillé
Budy? Dr.oetker czekoladowy,"Inne artyku?y ?ywno?ciowe, gdzie indziej niesklasyfikowane",Dr.oetker chocolate pudding,Other food items not elsewhere classified,Pudding au chocolat Dr.oetker,Autres produits alimentaires nca
Budy? Dr.Oetker ?mietankowy,"Inne artyku?y ?ywno?ciowe, gdzie indziej niesklasyfikowane",Cream pudding Dr. Oetker,Other food items not elsewhere classified,Pudding à la crème Dr. Oetker,Autres produits alimentaires nca
Budy? Dr.Oetker waniliowy,"Inne artyku?y ?ywno?ciowe, gdzie indziej niesklasyfikowane",Dr. Oetker Vanilla Pudding,Other food items not elsewhere classified,Dr. Oetker Pudding à la vanille,Autres produits alimentaires nca
Budy? Dr.oetker waniliowy,"Inne artyku?y ?ywno?ciowe, gdzie indziej niesklasyfikowane",Vanilla Dr.oetker pudding,Other food items not elsewhere classified,Pudding à la vanille Dr.oetker,Autres produits alimentaires nca
Budy? o smaku czekoladowym ,"Inne artyku?y ?ywno?ciowe, gdzie indziej niesklasyfikowane",Chocolate flavor pudding,Other food items not elsewhere classified,Pudding au chocolat,Autres produits alimentaires nca
Budy? o smaku ?mietankowym bezglutenowy ,"Inne artyku?y ?ywno?ciowe, gdzie indziej niesklasyfikowane",Gluten-free cream pudding,Other food items not elsewhere classified,Pudding à la crème sans gluten,Autres produits alimentaires nca
Budy? S?odka Chwila czekoladowy,"Inne artyku?y ?ywno?ciowe, gdzie indziej niesklasyfikowane",Pudding Sweet chocolate moment,Other food items not elsewhere classified,Pudding Moment de chocolat sucré,Autres produits alimentaires nca
Budy? s?odka chwila duet czekolada malina/45g ,"Inne artyku?y ?ywno?ciowe, gdzie indziej niesklasyfikowane",Pudding sweet moment duo chocolate raspberry / 45g,Other food items not elsewhere classified,Pudding Doux Moment Chocolat Framboise / 45g,Autres produits alimentaires nca
Budy? S?odka Chwila ?mietankowy,"Inne artyku?y ?ywno?ciowe, gdzie indziej niesklasyfikowane",Pudding Sweet moment of cream,Other food items not elsewhere classified,Pudding Doux moment de crème,Autres produits alimentaires nca
Budy? S?odka Chwila waniliowy,"Inne artyku?y ?ywno?ciowe, gdzie indziej niesklasyfikowane",Pudding Sweet Vanilla moment,Other food items not elsewhere classified,Pudding Doux Moment Vanille,Autres produits alimentaires nca
Budy? Winiary bananowy,"Inne artyku?y ?ywno?ciowe, gdzie indziej niesklasyfikowane",Banana Winiary pudding,Other food items not elsewhere classified,Pudding à la banane et au Winiary,Autres produits alimentaires nca
Budy? Winiary czekoladowy,"Inne artyku?y ?ywno?ciowe, gdzie indziej niesklasyfikowane",Chocolate Winiary Pudding,Other food items not elsewhere classified,Pudding au chocolat et au Winiary,Autres produits alimentaires nca
Budy? winiary o smaku truskawkowym z cukrem ,"Inne artyku?y ?ywno?ciowe, gdzie indziej niesklasyfikowane",Pudding winiary strawberry flavor with sugar,Other food items not elsewhere classified,Pudding au goût de fraise winiary avec sucre,Autres produits alimentaires nca
Budy? Winiary o smaku waniliowym z cukrem ,"Inne artyku?y ?ywno?ciowe, gdzie indziej niesklasyfikowane",Winiary pudding with vanilla flavor with sugar,Other food items not elsewhere classified,Pudding Winiary à la vanille et au sucre,Autres produits alimentaires nca
Budy? Winiary ?mietankowy bez cukru,"Inne artyku?y ?ywno?ciowe, gdzie indziej niesklasyfikowane",Pudding Winiary cream without sugar,Other food items not elsewhere classified,Pudding à la crème Winiary sans sucre,Autres produits alimentaires nca
Budy? Winiary waniliowy,"Inne artyku?y ?ywno?ciowe, gdzie indziej niesklasyfikowane",Winiary pudding vanilla,Other food items not elsewhere classified,Pudding à la vanille,Autres produits alimentaires nca
Budy? Winiary wi?niowy,"Inne artyku?y ?ywno?ciowe, gdzie indziej niesklasyfikowane",Pudding Winiary cherry,Other food items not elsewhere classified,Pudding aux cerises Winiary,Autres produits alimentaires nca
Bulion Knorr Kostka pieczeniowa do mi?s,"Inne artyku?y ?ywno?ciowe, gdzie indziej niesklasyfikowane",Knorr broth Meatloaf,Other food items not elsewhere classified,Bouillon de Knorr,Autres produits alimentaires nca
